# H2O modified n0 1.16
# Taken from new n0 results
# (W. Rocha, 16-04-2022 dd/mm/yyyy)
# First line is N_lam and rho [g/cm^3], other lines are: lambda[um] n k
  3000  0.940
      5.60764     1.15095     0.00833
      5.61421     1.15043     0.00869
      5.62077     1.14997     0.00912
      5.62734     1.14955     0.00958
      5.63390     1.14905     0.01003
      5.64047     1.14867     0.01057
      5.64704     1.14826     0.01048
      5.65360     1.14779     0.01101
      5.66017     1.14691     0.01159
      5.66673     1.14570     0.01187
      5.67330     1.14476     0.01269
      5.67986     1.14421     0.01320
      5.68643     1.14277     0.01384
      5.69300     1.14214     0.01427
      5.69956     1.14102     0.01500
      5.70613     1.14022     0.01572
      5.71269     1.13906     0.01665
      5.71926     1.13821     0.01718
      5.72582     1.13761     0.01819
      5.73239     1.13699     0.01915
      5.73895     1.13675     0.02026
      5.74552     1.13584     0.02128
      5.75209     1.13535     0.02228
      5.75865     1.13456     0.02351
      5.76522     1.13404     0.02459
      5.77178     1.13346     0.02599
      5.77835     1.13313     0.02756
      5.78491     1.13276     0.02874
